Student,LPIPS,SSIM
111590047.png,0.0,1.0
113590026.png,0.1477358490228653,0.8018614207164003
113370239.png,0.17465229332447052,0.7375022807804724
113590051.png,0.230267733335495,0.6941800120889444
113590015.png,0.25753694772720337,0.6892274005210776
113590001.png,0.26191049814224243,0.6792928755256304
111590028.png,0.2694380581378937,0.7074068208055373
113590021.png,0.2698971927165985,0.6425789615822264
113590022.png,0.2888885736465454,0.6575673951837742
112590454.png,0.30257660150527954,0.6526037757189838
113590043.png,0.32092657685279846,0.7736803836963216
112590455.png,0.3453700542449951,0.6591466136152411
111590042.png,0.3558700382709503,0.7855762834911065
113590002.png,0.3734278082847595,0.6365720881426422
113590018.png,0.3844674229621887,0.6391549833434921
113590028.png,0.3894503712654114,0.5988849289149414
113590049.png,0.4411987066268921,0.5231412986313333
111590455.png,0.4860672354698181,0.5774238338260894
